Title,Creator,Contributors,TulaneName,FullName,FirstName,LastName,BirthYear,DeathYear,Description,Notes,Date,Language,Identifier,Source,Relation,Coverage-Spatial,Collection,Rights,Publisher,Contact Information,Type,Format,Cataloger,Cataloged Date,Object File Name,Image Resolution (Archival),Image Bit-Depth (Archival),Color Mode (Archival),Extent (Archival),Image Manipulation (Archival),File Size (Archival),Hardware/Software (Archival),Digitized By,Digitized Date,File to Upload,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,Location URI
Richard B. Allen,"Mars, Florence",,"Allen, Richard, 1927-2007",Richard Allen,Richard,Allen,1927,2007,"Richard Allen and unknown with recording equipment in Seminar Room #2, Howard Tilton Memorial Library",,1959-12-01,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000012,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/9,9,10.jp2,/p16313coll33/image/10.jp2,http://sws.geonames.org/4335053/
Richard B. Allen,"Crawford, Ralston",,"Allen, Richard, 1927-2007",Richard Allen,Richard,Allen,1927,2007,"Richard Allen with Paul Barbarin looking at records in a room with many record shelves. Backroom of N.O. Record Shop, 439 Baronne Street",,1950,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000013,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/10,10,11.jp2,/p16313coll33/image/11.jp2,http://sws.geonames.org/4335053/
Richard B. Allen,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"Richard Allen with Paul Barbarin looking at records in a room with many record shelves. Backroom of N.O. Record Shop, 439 Baronne Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/10,10,,,
Richard B. Allen,,,"Allen, Richard, 1927-2007",Richard Allen,Richard,Allen,1927,2007,Richard Allen with Avery 'Kid' Howard and Kid's God-daughter,,,,See 'reference url' on navigation bar.,copied by Jack Humphrey from RBA's negative,,,,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000014,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/11,11,12.jp2,/p16313coll33/image/12.jp2,
Richard B. Allen,,,"Howard, Avery, 1908-1966",Avery Howard,Avery,Howard,1908,1966,Richard Allen with Avery 'Kid' Howard and Kid's God-daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/11,11,,,
Frank Amacker,"Mars, Florence",,"Amacker, Frank, 1890-1976",Frank Amacker,Frank,Amacker,1890,1976,Frank Amacker sitting on the front steps of the building at 2602 LaSalle Street,,,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000015,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/12,12,13.jp2,/p16313coll33/image/13.jp2,http://sws.geonames.org/4335053/
Frank Amacker,"Mars, Florence",,"Amacker, Frank, 1890-1976",Frank Amacker,Frank,Amacker,1890,1976,Frank Amacker sitting on a stool in a bar at 2600 LaSalle Street,,,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000016,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/13,13,14.jp2,/p16313coll33/image/14.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,"Hurley, Jack",,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"Andy Anderson, tp, leader, with Alex Bigard, d, Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,1963-10-12,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000017,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/14,14,15.jp2,/p16313coll33/image/15.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,,,"Roubleau, Ernest",Ernest Roubleau,Ernest,Roubleau,,,"Andy Anderson, tp, leader, with Alex Bigard, d, Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/14,14,,,
Andy Anderson Band,"Hurley, Jack",,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, and spectator; during a party. 4607 Freret Street, New Orleans, Louisiana",,1963-10-12,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000018,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/15,15,16.jp2,/p16313coll33/image/16.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,,,"Roubleau, Ernest",Ernest Roubleau,Ernest,Roubleau,,,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, and spectator; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/15,15,,,
Andy Anderson Band,"Hurley, Jack",,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,1963-10-12,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000019,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/16,16,17.jp2,/p16313coll33/image/17.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,,,"Roubleau, Ernest",Ernest Roubleau,Ernest,Roubleau,,,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/16,16,,,
Andy Anderson Band,,,"Crawford, Paul, 1925-1996",Paul Crawford,Paul,Crawford,1925,1996,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/16,16,,,
Andy Anderson Band,,,"Humphries, Bill",Bill Humphries,Bill,Humphries,,,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/16,16,,,
Andy Anderson Band,"Hurley, Jack",,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,1963-10-12,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000020,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/17,17,18.jp2,/p16313coll33/image/18.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,,,"Roubleau, Ernest",Ernest Roubleau,Ernest,Roubleau,,,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/17,17,,,
Andy Anderson Band,,,"Crawford, Paul, 1925-1996",Paul Crawford,Paul,Crawford,1925,1996,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/17,17,,,
Andy Anderson Band,,,"Humphries, Bill",Bill Humphries,Bill,Humphries,,,"Andy Anderson, tp, leader, with Ernest Roubleau, bj, Paul Crawford, tb, Bill Humphries, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/17,17,,,
Andy Anderson Band,"Hurley, Jack",,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"Alex Bigard, d, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,1963-10-12,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000021,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/18,18,19.jp2,/p16313coll33/image/19.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,,,"Bigard, Alex",Alex Bigard,Alex,Bigard,,,"Alex Bigard, d, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/18,18,,,
Andy Anderson Band,,,"Roubleau, Ernest",Ernest Roubleau,Ernest,Roubleau,,,"Alex Bigard, d, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/18,18,,,
Andy Anderson Band,"Hurley, Jack",,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"Leonard Ferguson, sitting in on drums for Alex Bigard, standing, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,1963-10-12,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000022,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/19,19,20.jp2,/p16313coll33/image/20.jp2,http://sws.geonames.org/4335053/
Andy Anderson Band,,,"Bigard, Alex",Alex Bigard,Alex,Bigard,,,"Leonard Ferguson, sitting in on drums for Alex Bigard, standing, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/19,19,,,
Andy Anderson Band,,,"Roubleau, Ernest",Ernest Roubleau,Ernest,Roubleau,,,"Leonard Ferguson, sitting in on drums for Alex Bigard, standing, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/19,19,,,
Andy Anderson Band,,,"Ferguson, Leonard, 1923-",Leonard Ferguson,Leonard,Ferguson,1923,,"Leonard Ferguson, sitting in on drums for Alex Bigard, standing, and Ernest Roubleau, bj; during a party. 4607 Freret Street, New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/19,19,,,
Robert Anderson,,,"Anderson, Robert",Robert Anderson,Robert,Anderson,,,"Robert Anderson singing into a microphone;America's foremost male Gospel singer.""(note on back of photo)",,,,See 'reference url' on navigation bar.,"Gift of Dr. Clayton Hannah, December 1980.",,,,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000023,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/20,20,21.jp2,/p16313coll33/image/21.jp2,
Tom Anderson,,,"Anderson, Tom",Tom Anderson,Tom,Anderson,,,"Bust photograph, in backwards type reads 'THOS. C. ANDERSON, Policing Com. Photo used in: Souvenir Program ELKS BURLESKE CIRCUS'",,2006-05-10,,See 'reference url' on navigation bar.,,,,,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000024,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/21,21,22.jp2,/p16313coll33/image/22.jp2,
Apollo Brass Band,,,"Coleman, Octave",Octave Coleman,Octave,Coleman,,,"Octave Coleman, bd, Irwin Jones, tb, Walter Payton, Jr, sous, Jesse Lee, tb, Harold Edwards, sn d, Nat Dowl, tp, Chuck Fortier, ts, John Henry McNeil, tp, Frank Morton, ts, and Clyde LeBeau, tp, gathered on the grass of the neutral ground in front of the ILA building. Fourth and Claiborne, New Orleans",,1965-06-20,,See 'reference url' on navigation bar.,,,New Orleans (La.),Arthur Koestler Collection,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000025,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/22,22,23.jp2,/p16313coll33/image/23.jp2,http://sws.geonames.org/4335053/
Apollo Brass Band,,,"Jones, Irwin",Irwin Jones,Irwin,Jones,,,"Octave Coleman, bd, Irwin Jones, tb, Walter Payton, Jr, sous, Jesse Lee, tb, Harold Edwards, sn d, Nat Dowl, tp, Chuck Fortier, ts, John Henry McNeil, tp, Frank Morton, ts, and Clyde LeBeau, tp, gathered on the grass of the neutral ground in front of the ILA building. Fourth and Claiborne, New Orleans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/22,22,,,
Apollo Brass Band,,,"Payton, Walter",Walter Payton,Walter,Payton,,,"Octave Coleman, bd, Irwin Jones, tb, Walter Payton, Jr, sous, Jesse Lee, tb, Harold Edwards, sn d, Nat Dowl, tp, Chuck Fortier, ts, John Henry McNeil, tp, Frank Morton, ts, and Clyde LeBeau, tp, gathered on the grass of the neutral ground in front of the ILA building. Fourth and Claiborne, New Orleans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/22,22,,,
Apollo Brass Band,,,"Lee, Jesse",Jesse Lee,Jesse,Lee,,,"Octave Coleman, bd, Irwin Jones, tb, Walter Payton, Jr, sous, Jesse Lee, tb, Harold Edwards, sn d, Nat Dowl, tp, Chuck Fortier, ts, John Henry McNeil, tp, Frank Morton, ts, and Clyde LeBeau, tp, gathered on the grass of the neutral ground in front of the ILA building. Fourth and Claiborne, New Orleans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/22,22,,,
